Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.0831953321335,72.173766181674,77.0773338372268,78.829086192377,80.8338598121498,81.993526810528,82.7592154034261,84.5594912907854,84.9193257057578,86.7151168089871,81.687732085618,84.5179877968907,99.6670656693455,114.218523740127,124.81153739158,153.128822786853,155.754990506786,176.29746959608,224.328552986676,259.036506926059,278.195451991461,249.285463313519,239.619495575649,212.486988135551,188.335761104216,194.567890866579,248.092870095962,280.952705814246,301.953488685356,294.04372431046,339.631822525047,334.759653973947,349.708107645647,325.153666535396,187.815137887201,229.832660030037,243.526923524733,224.611343869633,250.413944386071,293.887444638519,249.802075690488,260.443473110803,286.753714867893,363.818351959243,405.451276438268,442.944430628899,457.342074853242,516.750328470839,621.890271798117,603.877545561486,627.270395707064,727.612474511645,733.97287958981,762.303780103138,767.371344051512,632.12668582235,665.786328598963,711.184543433623,779.202768619387,765.229560401644,823.552410880968,888.781078836766,830.03715033429
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,84.8253371946916,92.8551129373993,95.0478052237596,96.5522100227946,94.8675576834292,100.967875859392,106.85572352998,116.796320541279,116.940534816855,128.60792611519,133.142945229324,127.995452738207,90.6783655642567,113.665702670582,171.526205300576,260.351516093487,132.457485424647,123.514493421219,166.006422429598,190.035791699715,216.109852036488,235.038390676618,209.195741763058,193.409373077802,202.2878488379,232.165821783332,221.569619138886,241.794908533863,258.830534751186,274.389427801832,294.90465244279,283.382285281796,284.966977564282,292.425347405186,292.078819525013,322.087389769502,387.384863171262,395.318052357112,401.96518010266,404.486143135093,413.100185264402,410.048540904043,407.96296761642,440.714404819588,469.116458369252,492.808648889577,503.538332188534,552.338934530705,630.108979202923,698.52094498398,776.859576940281,856.381886818701,876.818010441423,973.773904318684,1108.51495720707,1236.00439239816,1659.96249605674,1815.61026180185,1963.41249219641,2122.07839667492,2233.30590129762,2457.92403936141,2688.30550090738
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.80295786574,2234.81481573125,2169.00401089683,1852.81343442802,1963.57267618274,1914.55064658793,2260.4272811545,3132.30136036246,2511.39306259489,2477.0208179596,2366.52982128614,1267.73437541485,1211.98087810931,1278.52511370319,1148.4943993817,2259.25922555221,1470.19259250682,1361.40938439884,1820.44866449942,1659.71861105493,1621.26210738992,1770.90704918691,2092.98288625558,2719.49436859287,3389.68743360274,3899.82596332878,4523.1465578805,5888.77685220636,7271.30338858025,6988.27316296465,6863.66706774052,7857.16706984441,7430.7373804242,7687.71368243317,7912.27484371138,7078.86032298969,7570.93165511708,8381.88134621669,9447.65589681469,9874.33632625168,10148.3423954435,12219.3418706779,13974.4492487792
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8474.18836020654,9187.97962254238,9323.74981356581,9227.67973817044,9316.38055322895,8407.16363079749,6780.14379741552,7270.20031643672,7660.06661402143,7721.73788652967,8174.79723172088,8621.76704846767,8568.65805144955,9063.5653849584,9384.77188092589,9543.38936842945,9643.30869429956,9728.44632305414,9195.42560974637,9566.09549369908,12738.7741181575,12291.8326130535,12819.9959353139,14230.29675298,15777.9636408956,17705.235163895,19057.7989047138,20883.5480311994,23155.821449155,19448.1832553789,21186.8143292279,23741.5574626702,25102.726348527,25790.7303121382,25464.760097715,22795.4488576612,22867.1811196134,24349.9098701325,25415.8466249472,25869.1129129041,23433.1872362574,26850.0033915702,30146.925026365
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1483.00368182207,1581.30397963404,1680.49484945793,1792.42227428747,1921.43723505182,2073.82969066231,2246.84945447817,2466.52008844272,2688.94425577987,3057.32296102325,3005.78439946974,3108.95437416976,3123.46377278902,3466.05497951571,3197.70234670092,2953.22491963087,3115.53838987656,3386.62638813683,3871.33980727016,5194.46237000173,5967.76788587365,6257.78659039464,6797.83096516882,7324.18655372676,8463.46499921216,9436.23274442434,9858.29572096139,10617.4052687995,10819.2680417121,11533.2607639373,11696.5113658614,11269.9505176448,11025.8783642405,10730.0009716689,11085.1471273516,11447.0178999446,11835.386789885,20415.7061749809,21665.3878591494,23991.7008043163,24849.6064784902,25234.1441512502,26590.1401788013,26204.8804986853,26393.4139538137,28280.870835298,28829.8493750425,29687.865215033,29013.6302870767,27120.6905452145,27046.6576651879,26644.9265775896,28059.3936570338,26955.7889277843,28203.3556822767,29724.9533355233,29675.5358910641,30708.9870181946,31483.9788408235,32279.0113630465,23998.2680191207,28260.4325506367,31458.300811739
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.783179342536,497.682846633728,712.953645623129,907.14878323552,1000.41683499719,1128.39888405073,1332.21021661547,1382.7674599413,1602.5640389208,2031.40248331495,2451.57730128439,2741.08017482431,3170.17478337184,3936.93174748389,4846.79094117894,4542.31167332328,4506.93235205533,4980.90468838995,4688.34582317708,5025.24175294061,5196.97008415107,4654.60862038896,4917.26376596306,5327.39230422044,6024.49314979655,6094.72482322311,6095.10423658487,7230.19883771887,7568.79847995923
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.506730798407,1603.33885142339,1462.02861363291,1370.4784567014,1452.5071047646,1396.6571872706,1511.25979105507,1210.5874393672,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.29014337961,5967.06856034227,5039.77560949445,5785.53397723676,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888,7888.26371063212
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.12862895614,319.602802617404,331.201312612715,341.386111449432,355.643852872953,382.590664740267,411.338346967893,425.732250385276,391.899934684781,401.201110501414,441.171939292944,479.926941825033,527.756564242352,616.47107649379,802.056060067403,903.61714552315,727.455606305842,863.911060851942,981.048419022119,1070.34825098891,1363.84021848925,1318.12706471324,1195.50897246882,1231.01245060973,1342.22769091103,1301.082641921,1385.47123071816,1643.94992738917,1831.01963922273,2065.72030949383,2988.60482024205,3190.8683648441,3644.92282274521,3862.5520289618,3878.96898174086,4011.14003138603,4042.15248222286,4011.02223767595,4119.70617206105,4283.47706897941,4720.16821801746,4708.29493729742,4844.22857447243,4937.08990506267,5123.59621428164,5236.36542558777,5486.83143439175,5717.9296198322,5665.96623188559,5352.09598732755,5399.06209583265,5519.3390084833,5635.52152550234,5865.47090174488,6031.54840210944,6098.60007958976,6099.95710191497,6049.3919477765,6001.02426184093,6134.21523305713,5185.1580697602,6060.96822340845,6984.21695968163
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.40208533539,1961.53813461544,2020.38592936343,2020.26521185657,2199.7269680755,2282.21657257181,2630.8504967732,2982.74961719905,2830.18867924528,3053.7037037037,3387.27272727273,3866.30036630037,4343.17343173432,5009.2936802974,5853.93258426966,6509.43396226415,7261.27819548872,8370.78651685393,8876.86567164179,9613.38289962825,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3100591315,28669.6817134568,30900.6942794093,31476.0637221848,33989.7231613832,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638,107791.886435134,111774.669092278,118774.790656677
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,100.673901521639,107.272777234074,114.881103341666,121.143646712686,133.661018945741,145.384943287318,157.585574913804,174.203292040615,193.503110289103,205.152302364624,219.559689960347,231.357699266417,268.29504213227,257.759297367249,419.106200629666,469.189761799267,521.198507728786,601.99477359549,685.382706795972,803.956238258371,775.854212260084,985.587189563421,934.781382674752,884.552229028205,986.784631094051,842.090233368438,607.082772184527,652.705759425579,675.714735238143,678.641402538315,685.942717677007,737.521441951612,763.260608937804,760.117681773986,777.416035935178,856.365053473587,925.849210126015,973.962632245419,1025.40949458297,981.752978245454,977.329417675872,930.875684294239,888.198576030752,892.355341638943,951.951622939377,1018.31372502967,1200.06804203621,1351.03518185564,1687.57849715048,1725.14628617645,1922.05857050664,2304.98246161085,2562.46678423329,2853.79716191598,3022.46288443562,2975.64881143063,3013.50270721666,3280.0082139387,3471.0069506501,3472.38083136442,3068.81255516456,3345.02300226194,3600.12163486427
